date,description,amount
2024-01-01,Rent - 24th Street Apartment,-2000.0
2024-01-05,Contribution from checking,1400.0
2024-01-05,Contribution from partner,1400.0
2024-01-07,Trader Joe's,-98.84
2024-01-10,ConEd electric,-90.04
2024-01-10,Verizon internet,-79.99
2024-01-14,Trader Joe's,-117.23
2024-01-17,Sushi Date Night,-98.24
2024-01-21,Trader Joe's,-86.98
2024-01-28,Trader Joe's,-94.98
2024-02-01,Rent - 24th Street Apartment,-2000.0
2024-02-05,Contribution from checking,1400.0
2024-02-05,Contribution from partner,1400.0
2024-02-07,Trader Joe's,-105.31
2024-02-10,ConEd electric,-94.6
2024-02-10,Verizon internet,-79.99
2024-02-14,Trader Joe's,-123.64
2024-02-17,Sushi Date Night,-94.17
2024-02-21,Trader Joe's,-122.4
2024-02-28,Trader Joe's,-121.44
2024-03-01,Rent - 24th Street Apartment,-2000.0
2024-03-05,Contribution from checking,1400.0
2024-03-05,Contribution from partner,1400.0
2024-03-07,Trader Joe's,-82.44
2024-03-10,ConEd electric,-88.71
2024-03-10,Verizon internet,-79.99
2024-03-14,Trader Joe's,-103.56
2024-03-17,Sushi Date Night,-86.89
2024-03-21,Trader Joe's,-97.22
2024-03-28,Trader Joe's,-94.96
2024-04-01,Rent - 24th Street Apartment,-2000.0
2024-04-05,Contribution from checking,1400.0
2024-04-05,Contribution from partner,1400.0
2024-04-07,Trader Joe's,-106.31
2024-04-10,ConEd electric,-79.29
2024-04-10,Verizon internet,-79.99
2024-04-14,Trader Joe's,-88.28
2024-04-17,Sushi Date Night,-77.74
2024-04-21,Trader Joe's,-100.83
2024-04-28,Trader Joe's,-89.53
2024-05-01,Rent - 24th Street Apartment,-2000.0
2024-05-05,Contribution from checking,1400.0
2024-05-05,Contribution from partner,1400.0
2024-05-07,Trader Joe's,-107.29
2024-05-10,ConEd electric,-75.04
2024-05-10,Verizon internet,-79.99
2024-05-14,Trader Joe's,-127.56
2024-05-17,Sushi Date Night,-84.84
2024-05-21,Trader Joe's,-121.18
2024-05-28,Trader Joe's,-105.45
2024-06-01,Rent - 24th Street Apartment,-2000.0
2024-06-05,Contribution from checking,1400.0
2024-06-05,Contribution from partner,1400.0
2024-06-07,Trader Joe's,-108.31
2024-06-10,ConEd electric,-73.78
2024-06-10,Verizon internet,-79.99
2024-06-14,Trader Joe's,-115.67
2024-06-17,Sushi Date Night,-96.85
2024-06-21,Trader Joe's,-128.56
2024-06-28,Trader Joe's,-110.35
2024-07-01,Rent - 24th Street Apartment,-2000.0
2024-07-05,Contribution from checking,1400.0
2024-07-05,Contribution from partner,1400.0
2024-07-07,Trader Joe's,-86.17
2024-07-10,ConEd electric,-72.22
2024-07-10,Verizon internet,-79.99
2024-07-14,Trader Joe's,-125.16
2024-07-17,Sushi Date Night,-76.07
2024-07-21,Trader Joe's,-98.58
2024-07-28,Trader Joe's,-99.02
2024-08-01,Rent - 24th Street Apartment,-2000.0
2024-08-05,Contribution from checking,1400.0
2024-08-05,Contribution from partner,1400.0
2024-08-07,Trader Joe's,-103.92
2024-08-10,ConEd electric,-86.84
2024-08-10,Verizon internet,-79.99
2024-08-14,Trader Joe's,-92.61
2024-08-17,Sushi Date Night,-94.87
2024-08-21,Trader Joe's,-112.83
2024-08-28,Trader Joe's,-118.99
2024-09-01,Rent - 24th Street Apartment,-2000.0
2024-09-05,Contribution from checking,1400.0
2024-09-05,Contribution from partner,1400.0
2024-09-07,Trader Joe's,-102.85
2024-09-10,ConEd electric,-79.25
2024-09-10,Verizon internet,-79.99
2024-09-14,Trader Joe's,-95.07
2024-09-17,Sushi Date Night,-92.7
2024-09-21,Trader Joe's,-103.25
2024-09-28,Trader Joe's,-112.69
2024-10-01,Rent - 24th Street Apartment,-2000.0
2024-10-05,Contribution from checking,1400.0
2024-10-05,Contribution from partner,1400.0
2024-10-07,Trader Joe's,-126.59
2024-10-10,ConEd electric,-87.59
2024-10-10,Verizon internet,-79.99
2024-10-14,Trader Joe's,-95.61
2024-10-17,Sushi Date Night,-83.71
2024-10-21,Trader Joe's,-100.54
2024-10-28,Trader Joe's,-91.82
2024-11-01,Rent - 24th Street Apartment,-2000.0
2024-11-05,Contribution from checking,1400.0
2024-11-05,Contribution from partner,1400.0
2024-11-07,Trader Joe's,-102.15
2024-11-10,ConEd electric,-73.02
2024-11-10,Verizon internet,-79.99
2024-11-14,Trader Joe's,-119.33
2024-11-17,Sushi Date Night,-84.48
2024-11-21,Trader Joe's,-93.4
2024-11-28,Trader Joe's,-115.09
2024-12-01,Rent - 24th Street Apartment,-2000.0
2024-12-05,Contribution from checking,1400.0
2024-12-05,Contribution from partner,1400.0
2024-12-07,Trader Joe's,-94.31
2024-12-10,ConEd electric,-70.04
2024-12-10,Verizon internet,-79.99
2024-12-14,Trader Joe's,-105.91
2024-12-17,Sushi Date Night,-83.73
2024-12-21,Trader Joe's,-119.12
2024-12-28,Trader Joe's,-103.59
